"REF_DATE","GEO","DGUID","Type of fuel","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-10","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","210.2","","","","1"
"2023-11","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","208.9","","","","1"
"2023-12","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","200.8","","","","1"
"2024-01","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","199.0","","","","1"
"2024-02","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","208.3","","","","1"
"2024-03","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","205.4","","","","1"
"2024-04","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","196.1","","","","1"
"2024-05","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","181.0","","","","1"
"2024-06","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","178.4","","","","1"
"2024-07","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","182.9","","","","1"
"2024-08","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","175.3","","","","1"
"2024-09","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","167.2","","","","1"
"2024-10","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","176.3","","","","1"
"2023-10","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","210.4","","","","1"
"2023-11","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","206.9","","","","1"
"2023-12","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","198.8","","","","1"
"2024-01","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","196.1","","","","1"
"2024-02","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","202.1","","","","1"
"2024-03","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","195.2","","","","1"
"2024-04","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","189.0","","","","1"
"2024-05","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","180.8","","","","1"
"2024-06","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","178.4","","","","1"
"2024-07","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","183.4","","","","1"
"2024-08","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","174.9","","","","1"
