"REF_DATE","GEO","DGUID","Type of fuel","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-10","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","180.0","","","","1"
"2023-11","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","174.2","","","","1"
"2023-12","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","168.8","","","","1"
"2024-01","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","167.0","","","","1"
"2024-02","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","174.2","","","","1"
"2024-03","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","179.4","","","","1"
"2024-04","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","194.2","","","","1"
"2024-05","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","190.9","","","","1"
"2024-06","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","183.0","","","","1"
"2024-07","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","186.7","","","","1"
"2024-08","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","181.5","","","","1"
"2024-09","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","168.9","","","","1"
"2024-10","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","170.7","","","","1"
"2023-10","Charlottetown and Summerside, Prince Edward Island","","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735110","3.4","174.4","","","","1"
"2023-11","Charlottetown and Summerside, Prince Edward Island","","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735110","3.4","170.1","","","","1"
"2023-12","Charlottetown and Summerside, Prince Edward Island","","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735110","3.4","166.7","","","","1"
"2024-01","Charlottetown and Summerside, Prince Edward Island","","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735110","3.4","167.7","","","","1"
"2024-02","Charlottetown and Summerside, Prince Edward Island","","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735110","3.4","172.0","","","","1"
"2024-03","Charlottetown and Summerside, Prince Edward Island","","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735110","3.4","175.5","","","","1"
"2024-04","Charlottetown and Summerside, Prince Edward Island","","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735110","3.4","186.4","","","","1"
"2024-05","Charlottetown and Summerside, Prince Edward Island","","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735110","3.4","191.2","","","","1"
"2024-06","Charlottetown and Summerside, Prince Edward Island","","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735110","3.4","185.0","","","","1"
"2024-07","Charlottetown and Summerside, Prince Edward Island","","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735110","3.4","189.4","","","","1"
"2024-08","Charlottetown and Summerside, Prince Edward Island","","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735110","3.4","184.5","","","","1"
"2024-09","Charlottetown and Summerside, Prince Edward Island","","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735110","3.4","171.9","","","","1"
"2024-10","Charlottetown and Summerside, Prince Edward Island","","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735110","3.4","174.1","","","","1"
"2023-10","Halifax, Nova Scotia","2011S0503205","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735111","4.4","178.9","","","","1"
"2023-11","Halifax, Nova Scotia","2011S0503205","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735111","4.4","172.3","","","","1"
"2023-12","Halifax, Nova Scotia","2011S0503205","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735111","4.4","164.6","","","","1"
"2024-01","Halifax, Nova Scotia","2011S0503205","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735111","4.4","165.5","","","","1"
"2024-02","Halifax, Nova Scotia","2011S0503205","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735111","4.4","172.8","","","","1"
"2024-03","Halifax, Nova Scotia","2011S0503205","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735111","4.4","177.2","","","","1"
"2024-04","Halifax, Nova Scotia","2011S0503205","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735111","4.4","190.6","","","","1"
"2024-05","Halifax, Nova Scotia","2011S0503205","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735111","4.4","192.6","","","","1"
"2024-06","Halifax, Nova Scotia","2011S0503205","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735111","4.4","184.4","","","","1"
"2024-07","Halifax, Nova Scotia","2011S0503205","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735111","4.4","186.7","","","","1"
